Transaction ID,Date,Product,Category,Quantity,Price,Total Sales
1,2023-01-01,Product_A,Category_2,43,81.26,3494.1800000000003
2,2023-01-02,Product_C,Category_1,9,388.86,3499.7400000000002
3,2023-01-03,Product_B,Category_4,35,164.63,5762.05
4,2023-01-04,Product_D,Category_4,4,118.88,475.52
5,2023-01-05,Product_A,Category_2,47,356.56,16758.32
6,2023-01-06,Product_D,Category_3,77,115.53,8895.81
7,2023-01-07,Product_C,Category_4,75,254.38,19078.5
8,2023-01-08,Product_C,Category_4,38,165.59,6292.42
9,2023-01-09,Product_A,Category_4,46,413.5,19021.0
10,2023-01-10,Product_C,Category_4,15,477.64,7164.599999999999
11,2023-01-11,Product_C,Category_3,35,414.06,14492.1
12,2023-01-12,Product_A,Category_3,90,204.47,18402.3
13,2023-01-13,Product_D,Category_3,60,89.77,5386.2
14,2023-01-14,Product_D,Category_4,55,352.2,19371.0
15,2023-01-15,Product_C,Category_3,40,452.81,18112.4
16,2023-01-16,Product_B,Category_2,69,206.72,14263.68
17,2023-01-17,Product_B,Category_4,5,29.98,149.9
18,2023-01-18,Product_A,Category_4,19,70.93,1347.67
19,2023-01-19,Product_C,Category_4,99,197.51,19553.489999999998
20,2023-01-20,Product_A,Category_4,61,254.65,15533.65
21,2023-01-21,Product_C,Category_1,12,152.38,1828.56
22,2023-01-22,Product_C,Category_3,51,248.87,12692.37
23,2023-01-23,Product_A,Category_1,34,479.81,16313.54
24,2023-01-24,Product_B,Category_2,38,47.75,1814.5
25,2023-01-25,Product_C,Category_1,88,403.72,35527.36
26,2023-01-26,Product_D,Category_1,44,233.11,10256.84
27,2023-01-27,Product_C,Category_1,79,330.31,26094.49
28,2023-01-28,Product_B,Category_1,24,484.99,11639.76
29,2023-01-29,Product_D,Category_3,96,235.18,22577.28
30,2023-01-30,Product_D,Category_3,64,57.06,3651.84
31,2023-01-31,Product_D,Category_1,44,415.68,18289.920000000002
32,2023-02-01,Product_B,Category_1,14,139.71,1955.94
33,2023-02-02,Product_D,Category_2,31,453.55,14060.050000000001
34,2023-02-03,Product_C,Category_2,54,50.15,2708.1
35,2023-02-04,Product_C,Category_4,5,121.71,608.55
36,2023-02-05,Product_C,Category_1,30,484.35,14530.5
37,2023-02-06,Product_B,Category_4,59,441.33,26038.469999999998
38,2023-02-07,Product_C,Category_3,78,117.22,9143.16
39,2023-02-08,Product_C,Category_3,34,390.47,13275.980000000001
40,2023-02-09,Product_C,Category_3,57,52.28,2979.96
41,2023-02-10,Product_B,Category_3,1,87.35,87.35
42,2023-02-11,Product_D,Category_4,65,99.32,6455.799999999999
43,2023-02-12,Product_C,Category_1,42,31.16,1308.72
